ID,Title,SKU,"Product Type","Parent Product ID",_isbn_text_field,epub_uuid
2610,"Mannvist - sýnisbók íslenskra fornleifa",100450,variable,2609,9789935100450,
2613,"Daði - Ódysseifur",100467,variable,2612,9789935100467,
2617,"Jarðlag í tímanum",100474,variable,2616,9789935100474,
2637,Nonni,100535,variable,2636,9789935100535,
2640,"Uppsala - Edda",100542,variable,2639,9789935100542,
2651,"Faldar og skart",100566,variable,2650,9789935100566,
2658,"Það er kominn gestur",100573,variable,2657,9789935100573,
2661,"66 Handrit úr fórum Árna Magnússonar",100580,variable,2660,9789935100580,
2730,Minningabók,102888,variable,2729,9789979102885,
2752,Nætursöngvar,10354X,variable,2751,9789979103547,
2755,Þögnin,103701,variable,2754,9789979103707,
2760,"Frá ljósi til ljóss",104392,variable,2759,9789979104391,
2767,"Tinni - Skurðgoðið með skarð í eyra",104742,variable,2766,9789979104742,
2771,"Tinni - Leyndardómur Einhyrningsins",104759,variable,2770,9789979104759,
2778,"Öldin okkar 1991-1995",104766,variable,2777,9789979104766,
2784,"Strumpafjör 1",104773,variable,2783,9789979104773,
2792,Strympa,104797,variable,2791,9789979104797,
2796,Öðruvísistrumpur,104803,variable,2795,9789979104803,
2801,"Goðheimar 1 - Úlfurinn bundinn",104810,variable,2800,9789979104810,
2806,"Öldin sextánda: I. bindi, 1501-1550",104827,variable,2805,9789979104827,
2810,"Öldin átjánda: I. bindi, 1701-1760",104834,variable,2809,9789979104834,
2815,"Öldin sem leið 1861-1900",104841,variable,2814,9789979104841,
2819,"Öldin okkar 1931-1950",104858,variable,2818,9789979104858,
2824,"Öldin okkar 1961-1970",104865,variable,2823,9789979104865,
2829,"Öldin okkar 1981-1985",104872,variable,2828,9789979104872,
2833,"Tinni - Fjársjóður Rögnvaldar rauða",104889,variable,2832,9789979104889,
2837,"Tinni - Krabbinn með gylltu klærnar",104896,variable,2836,9789979104896,
2842,"Spádómar Nostradamusar",104902,variable,2841,9789979104902,
2848,"Öldin okkar 1996-2000",104919,variable,2847,9789979104919,
2852,"Smáréttir Nönnu",104926,variable,2851,9789979104926,
2856,"Stjórnarskrá lýðveldisins Íslands",104933,variable,2855,9789979104933,
2860,"Tinni - Kolafarmurinn",104940,variable,2859,9789979104940,
2864,"Tinni - Leynivopnið",104957,variable,2863,9789979104957,
2868,"Strumparnir og eiturflugan",104964,variable,2867,9789979104964,
2872,"Strumparnir og risafuglinn",104971,variable,2871,9789979104971,
2876,"Strumpafjör 3",104988,variable,2875,9789979104988,
2880,"Strumpafjör 4",104995,variable,2879,9789979104995,
2884,Geimstrumpur,105008,variable,2883,9789979105008,
2887,"Strumparnir og draugahöllin",105015,variable,2886,9789979105015,
2898,"Litli ísbjörninn - fingrabrúðubók",105039,variable,2897,9789979105039,
2902,"Kisa litla - fingrabrúðubók",105046,variable,2901,9789979105046,
2906,"Litli andarunginn - fingrabrúðubók",105053,variable,2905,9789979105053,
2910,"Mýsla litla - fingrabrúðubók",105060,variable,2909,9789979105060,
2914,"Tinni - Dularfulla stjarnan",105084,variable,2913,9789979105084,
2920,"Tinni - Svaðilför í Surtsey",105091,variable,2919,9789979105091,
2926,"Táknin í málinu",105107,variable,2925,9789979105107,
2930,"Jólamatur Nönnu",105114,variable,2929,9789979105114,
2934,"Goðheimar 2 - Hamarsheimt",105121,variable,2933,9789979105121,
2940,"Sólarmegin: líf og störf Herdísar Egilsdóttur",105138,variable,2939,9789979105138,
2944,"Hans strumpatign",105145,variable,2943,9789979105146,
2948,Riddarastrumpur,105152,variable,2947,9789979105152,
2956,"Múffur - í hvert mál",105183,variable,2955,9789979105183,
2964,Kristalskúlurnar,105206,variable,2963,9789979105206,
2972,"Goðheimar 3 - Veðmál Óðins",105220,variable,2971,9789979105220,
2976,"Tinni - Vindlar faraós",105237,variable,2975,9789979105237,
2979,"Tinni - Blái lótusinn",105244,variable,2978,9789979105244,
2983,"Kjúklingaréttir Nönnu",105251,variable,2982,9789979105251,
2987,"Goðheimar 4 - Sagan um Kark",105268,variable,2986,9789979105268,
2992,"Manga með svartan vanga - sagan öll",105275,variable,2991,9789979105275,
2996,"Heilbrigði trjágróðurs",105282,variable,2995,9789979105282,
3003,"Goðheimar 5 - Förin til Útgarða-Loka",105299,variable,3002,9789979105299,
3007,"Icelandic Food and Cookery",105305,variable,3006,9789979105305,
3011,"Does anyone actually eat this?",105312,variable,3010,9789979105312,
3015,"Ömmumatur Nönnu",105329,variable,3014,9789979105329,
3019,"Goðheimar 6 - Gulleplin",105336,variable,3018,9789979105336,
3023,"Sætmeti án sykurs og sætuefna",105350,variable,3022,9789979105350,
3027,"Létt og litríkt",105374,variable,3026,9789979105374,
3032,"Kryddjurtarækt fyrir byrjendur",105381,variable,3031,9789979105381,
3069,"Almenn efnafræði 1",10800,variable,3068,9789979301516,
